Day_trump,trump_scaled,Day_v2,iran_scaled,moo deng,raygun_scaled,moo_deng_scaled,columb_dna
2024-07-02,3052.503053,2024-07-25,626.566416,0,0,0,0
2024-07-03,3052.503053,2024-07-26,751.879699,0,0,0,0
2024-07-04,3052.503053,2024-07-27,877.1929825,0,0,0,0
2024-07-05,2035.002035,2024-07-28,877.1929825,0,0,0,0
2024-07-06,2035.002035,2024-07-29,877.1929825,0,0,0,0
2024-07-07,2035.002035,2024-07-30,877.1929825,0,0,0,0
2024-07-08,2035.002035,2024-07-31,2380.952381,0,0,0,0
2024-07-09,2035.002035,2024-08-01,2005.012532,0,0,0,0
2024-07-10,2035.002035,2024-08-02,2506.265664,0,0,0,0
2024-07-11,2035.002035,2024-08-03,3383.458647,0,0,0,0
2024-07-12,3052.503053,2024-08-04,3258.145364,0,0,0,0
2024-07-13,47822.54783,2024-08-05,5012.53133,0,0,0,0
2024-07-14,101750.1018,2024-08-06,4511.278196,0,0,0,0
2024-07-15,28490.02849,2024-08-07,3383.458647,0,0,0,0
2024-07-16,16280.01628,2024-08-08,2631.578948,0,0,0,0
2024-07-17,12210.01221,2024-08-09,2005.012532,0,261.9047619,0,0
2024-07-18,13227.51323,2024-08-10,1879.699248,0,1523.809524,0,0
2024-07-19,16280.01628,2024-08-11,2005.012532,0,2047.619048,0,0
2024-07-20,8140.00814,2024-08-12,2631.578948,0,2380.952381,0,0
2024-07-21,10175.01018,2024-08-13,2882.205514,0,2119.047619,0,0
2024-07-22,8140.00814,2024-08-14,2255.639098,0,1666.666667,0,0
2024-07-23,7122.507125,2024-08-15,1754.385965,0,1833.333334,0,0
2024-07-24,7122.507125,2024-08-16,1503.759399,0,1452.380953,0,0
2024-07-25,5087.50509,2024-08-17,1378.446116,0,952.3809525,0,0
2024-07-26,5087.50509,2024-08-18,1253.132832,0,833.3333335,0,0
2024-07-27,6105.006105,2024-08-19,1253.132832,0,547.6190475,0,0
2024-07-28,5087.50509,2024-08-20,1002.506266,0,333.3333334,0,0
2024-07-29,7122.507125,2024-08-21,1127.819549,0,238.0952381,0,0
2024-07-30,6105.006105,2024-08-22,1002.506266,0,214.2857143,0,0
2024-07-31,6105.006105,2024-08-23,877.1929825,0,166.6666667,0,0
2024-08-01,5087.50509,2024-08-24,1002.506266,0,166.6666667,0,0
2024-08-02,4070.00407,2024-08-25,1127.819549,0,142.8571429,0,0
2024-08-03,4070.00407,2024-08-26,1002.506266,0,95.23809525,0,0
2024-08-04,4070.00407,2024-08-27,877.1929825,0,71.42857145,0,0
2024-08-05,3052.503053,2024-08-28,1002.506266,0,71.42857145,0,0
2024-08-06,3052.503053,2024-08-29,877.1929825,0,71.42857145,0,0
2024-08-07,3052.503053,2024-08-30,877.1929825,0,71.42857145,0,0
2024-08-08,4070.00407,2024-08-31,877.1929825,0,95.23809525,0,0
2024-08-09,4070.00407,2024-09-01,877.1929825,0,71.42857145,0,0
2024-08-10,4070.00407,2024-09-02,751.879699,0,71.42857145,0,0
2024-08-11,4070.00407,2024-09-03,751.879699,0,47.61904762,0,0
2024-08-12,4070.00407,2024-09-04,751.879699,0,261.9047619,0,0
2024-08-13,5087.50509,2024-09-05,1002.506266,0,190.4761905,0,0
2024-08-14,4070.00407,2024-09-06,751.879699,0,119.0476191,0,0
2024-08-15,3052.503053,2024-09-07,877.1929825,0,95.23809525,0,0
2024-08-16,3052.503053,2024-09-08,877.1929825,0,71.42857145,0,0
2024-08-17,3052.503053,2024-09-09,751.879699,0,71.42857145,0,0
2024-08-18,3052.503053,2024-09-10,1127.819549,0,190.4761905,10,0
2024-08-19,3052.503053,2024-09-11,877.1929825,4.761904762,214.2857143,15,0
2024-08-20,4070.00407,2024-09-12,751.879699,4.761904762,142.8571429,30,0
2024-08-21,4070.00407,2024-09-13,751.879699,14.28571429,71.42857145,80,0
2024-08-22,4070.00407,2024-09-14,751.879699,19.04761905,47.61904762,95,0
2024-08-23,5087.50509,2024-09-15,877.1929825,14.28571429,47.61904762,80,0
2024-08-24,4070.00407,2024-09-16,877.1929825,23.80952381,47.61904762,115,0
2024-08-25,3052.503053,2024-09-17,1503.759399,23.80952381,47.61904762,130,0
