Title,News Agency,Link,Date
Why doesn't B.C. have election results yet?,CityNews Vancouver,https://news.google.com/rss/articles/CBMihAFBVV95cUxPdG1PRmNkbjJDU2RMX2Niei14Tmw3NEY0VGpIQjFSN0M5anl6ZG5nMGI0NEdDMkxISW5HWjA2RzNFc3p2WENJU28xOGNMX1NDYXoyTWVoSUU5WDVOOUZjWHVlUjRxWWozUWJhWjFVdGVPTUZ3R0FVRWNBTVdsOEgza0l6aW8?oc=5,21-10-2024
B.C.'s election sits on a knife edge with several races too close to call,Global News Toronto,https://news.google.com/rss/articles/CBMikwFBVV95cUxPdndhQ2lLOUNIRkJVVEtpaHk4RmFyOE8yMHpENGh3U1N1Nmo0RGFuejhLLTloXzVRelpab3pKOF9udVhvRnZMM3Nta014TldVVHU3ejE5b2FzR1V0MlJ5TTNXN081OGdnWHYxMWUycGN1cXVySF9HZDItazZJOHIxbFV2MTlPbmtDcDFTdGJqWDRJV0nSAZgBQVVfeXFMUHV0OEpvMXB1eHZqLUFkWmdXcVJnN0EwSS1ZZWMzak96T2RBYWhCNHZ6Nkk1X203aXJ1Y2gtTnVmUFI3emVGb09RdDZabnNJZHFVZE9xY0hhOWM2TV95TVE2LW56LUdOT3NLSmR6ZEJIZnlZcEpYT1pGdndjbjhGcmJweGZkQ3llTnFEUF9JREE2a2dqMXZtWEY?oc=5,20-10-2024
"Initial count finished, but 49,000 ballots still to be reviewed in B.C. election",CTV News Vancouver,https://news.google.com/rss/articles/CBMirwFBVV95cUxQbVlrNWROQXo4RVRudkx4dzJQU0dVSmxubExNcE13S2lWeHBvWlB6MHBtOGJLZEluU1FqWW5yYmV4VWMxOERybFJNRjdnU1JDVGg4aVY3NXRrZXBoZFZ0UGpNUmpmMjVZb215U3JrQkNvRzdFWlBnZjVjM2cyQnFTYkRCYnY5TnYtT0VhSW13YXdrSW4zMHBOLTVsTFpRMUMwcWN4R09DWVFWWWxzR3Rr?oc=5,20-10-2024
"No clear winner in B.C. election race between NDP, Conservatives",CBC.ca,https://news.google.com/rss/articles/CBMiigFBVV95cUxPU2NWRm1VUG5QMm14anZ5Q3lteElVbFZtazBHdzNZRjZXQWV3T2dJLVQyOUhEaFF1TFBPZ3AydWhfQk5sZmo5cGpKRTJSdV80SlNFeGU5d1hnclhJNHYwSzhGVTBYRFBlb0s4OVltWXlPQXVXbzV3SS1fSUpmazEyRzh6c1ktU2hIT3fSAUdBVV95cUxQQTN2Y2NaRFc0VzJmWVNXbk52ZUpyUy1JWVFfc3JYblZ2OXBRdDIyLTNzN0RRTDZwSHN4VU9JSnRkbG93aFBnQQ?oc=5,20-10-2024
"Early BC provincial election results for Delta South, Delta North",Delta Optimist,https://news.google.com/rss/articles/CBMitAFBVV95cUxQMjJaOER0WXRUUmFDTnNEc1ZBVjZ2YUwxT1VzZGpfRlU0anhNRi1CTVlvXzgxelRJOENVcnVad0xHWG1fVzAtU0ttQUMxUWJxb3Z4dkozSEl4NS1SMTRRZ3M5WW9BQkkxYWxNbk56RFQ2QlZJc09GbmthYVI2bmtvNDdZU2YzMDZ1V1M0OEZvSFdUcGdoa1ZpYVJmbkZQU1pDNk9zY1J0OXVhN3J0aFJqNGJSVEM?oc=5,20-10-2024
Election results could come within an hour of polls closing,Times Colonist,https://news.google.com/rss/articles/CBMisAFBVV95cUxNZUNlbGFBcG1xTWR2WlM4TzlOVmstcENxRkVqT2NlU21VcmZqbVpwcnRxdGg3bFVwNUJqdVNUc19IQ3pxQ0tkdXI3NTluUk1qR1c5Tk1uMzN0Ny1WWnRyTG1MS1JVZVBzMFd2TTFMOXlCcEdxMC0tV2V4WFl0dVJOMlI1SlU0aFgxLTNxa1duSjNET2xpdXExQmFVRWxpS09tWllnZ0d0T08tU19RUW0zYw?oc=5,19-10-2024
B.C. election tells the tale of two British Columbias divided along ideological fault lines,The Conversation Indonesia,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOV3V2TDNCcTlYZE9JVldfMTlnbUIxSWJIM2VoU2Y0QTNZSWZqWkJvdTh3ZlNUMVktblRnZUtsMjJxSUJYZzlEckRuczk0MjFXWDhpdkdVX3JuQnUzeGg0ZnRTMk9NN3YyU2FiYUpvRm5HdTcwTUs2UzZ6WmVGVThyX1dpSmZXVHh3Y3ZHSjFJcUFCS2tKVWhXNm9iWjdxMERmbWV6ZEtSRG44SDZ1MlZMUzJrQjExeno2RFo3S3o2eDhJaTA?oc=5,20-10-2024
2024 B.C. Provincial Election Results,Final votes will determine winner - C-FAX 1070,https://news.google.com/rss/articles/CBMihwFBVV95cUxQcHpEQjNaQXZYUktoenpiWXFrZlJxQWZCemtyZTZhUnppcHRZZ0l0R01JdmhiOXp4bEQxbXhpRGp5VW9YREpuNUlPQUFQcU1fTmVXNDlLa2Y1SzV6cmxUWlJmVEN4dm90SmVWVlQwRGlJVHJ2bGd0b3I0QWk3SGQtcEVHMkhhMGc?oc=5,20-10-2024
B.C. Election: Latest results for Vancouver Island ridings,CHEK News,https://news.google.com/rss/articles/CBMijgFBVV95cUxOYWRyTy1yWF9LTVZ1MVVrRTBtaDdvb0VTYUcwb3lzcVBabFU1U1lYSXhqOUZ3WFkxQVFHUWFBWUY2Yk9Wby11ektIcVRpN2JSXzdudW9VVDFOU3VRdXI0SkpGU3FMSERUM0k5cjZwWUxoTFkycFhXakh3UWF2UUdLeFlSZHQySTJxbWs0WW9n?oc=5,19-10-2024
B.C. election results: Live numbers from the 2024 vote,Global News Toronto,https://news.google.com/rss/articles/CBMie0FVX3lxTFBWeWNGNDJCYkVJckxQd29ySGI4aE5wZHVadEF0V3Z5ZW5UZmpjd0MwSTZUdERYTlAwelVNMXhFV2JieUllenBBQ3RHcnN3MmN3UmZsdHJBbTBxcksyRWwzY3A0NGtmeWtBcm5zNnFhMEc3U3lNcjVVWnZ3TdIBgAFBVV95cUxOZFlVQVNaT3BGSUxmYzlycGhsMFdIN3NlNTB3SVFXRkdxY3pIVTBmMWtVZEs2Tk5FaVo0blhQRksyWU5WeEFqVXhLV1p6bnVzcWY4VUhielNkM2xVbmRUelQxT2xCQzN3a3BQQjE5MFMxNUZvaVdiMDBTMUdHdFdrVw?oc=5,22-10-2024
B.C. VOTES | Election results from across British Columbia,CityNews Vancouver,https://news.google.com/rss/articles/CBMinAFBVV95cUxNRTNUWXpJeWRFbEhCazhVU1FIODNYci04N1d4ejVEVzRMRmF5X3pmRXh2WC1VaG5TUHF5Y21sVVAzME1tSmcxa0pNM1JfRjlWY1Q1UGNZNlFINW9manczeFJKeExEQ1VoaEk0QXdSM1dHdWhQVzEzOXhMRGVxQ3RINU5aNU1NbGotLVhXekFvWkdCWlhpQ0V1ajRmOEw?oc=5,20-10-2024
Do B.C. election results mean U.S.-style 'entrenched tribalism' is here to stay?,CTV News Vancouver,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPUEtPWmdmOGNvZWE4cFRLYmFtbWdjVnNITzFDVDk5bFc0alVFTHBjRWdEakNFY3VoX3ViNHJ4NWZSVVlkdzNTaXhNOFhSaWg3S2hjRHlZdWRYODF5b2VwTW9XWVhQMGx6RVRBVzR5aUFicE9OcThhem1WeG4zSWJWaXprX0lXT0RON2dFeGExTXhVc0ZmcksxTGV2eXVVdk1uZTJFZ2JRbUc4SHM?oc=5,21-10-2024
Recounts might still not be enough to declare winner of B.C. election,Times Colonist,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQbUZrTDhtSUtPVTZPNDVxOWpkeTF3YTN6ZEE5bksyQm5IQUlBMWt6WWI4YVZsNm9sVDB0dHBkQ014V0luZ0N3TF9SVlV4MzBtQVc3UzhjaXFMOHdZVHZuVWRTUmFEc0JtZW55WDBQRlU4TG1xTmJEeWY3dnZaS3pvZTdJbEtxc2tGM1ROYUh1XzE4MnFkclZWckxEdWtjVm55bFRHY0NZdUtGVV85SmxxdWlaYklUaU1SeUx5WjZrelpzZFk?oc=5,22-10-2024
