Title,News Agency,Link,Date
Christopher Columbus's DNA to shed light on his origins,BBC.com,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1LcGFSdkY4NGhIR2tBZXZRZzdaYWRfZlJxcEFzSjBTVW9uM05OeUdQby0zdDVQNVVuX01WbEJ6UHl1a3lVSldlWEtuOUxhbEd0ejltSTVFLTBud9IBX0FVX3lxTE0yWnBZLWVKM1VDUjZjNk1UeG9KcTNtMnZ1eHBBTUc2T1RGYTVBY2QtNmlOMG9kcGV0Q2dKcFdhV0dZZ1RqNkY2UE0zQUg4NVEtVjlVck1sR1JFRzAzaGc4?oc=5,11-10-2024
"Christopher Columbus may have been Spanish and Jewish, documentary says",The Guardian,https://news.google.com/rss/articles/CBMirgFBVV95cUxPQU1OWjh2LXZ5SzRFZFotQzVTckt3SXJBbmJkandhUnBIX2xXQmVfS0dSX3RmN295emxmS1Nzc29zZzdaSDB5QnVjQklCNXdEaDlfOGlWWGg0QjNpNlhwRGFiMkNWVjJuSWJlb1U4OW5RdTVCTHBVWTczdTNObjc2bEZodVBQZlIzSTBXcEJyWXlYR3pLaDNnZmpJd3REbVlQaG9LTm9XLVg2djNQNmfSAa4BQVVfeXFMUHljbTBWd0ZkUzU4MlFPU053Z0hNanhNT1JRYTZhRXdKQk9mblpPb0E1eWFvdzdyazgzN29YQjNCdG9aMHo4YkI1dzlyd2NrSVBSLXdaTDEtSEtXcHBRVlAyZkx1NXJlcFpub1BCbVhlQUJMQUNzT3BUUXhZRk5tUFZRM3BlRUpQbWdiNmFSYTA5TWs3Z1NOSW9BOFFESTdHRDNWOVBQRFVfNHYyM2tB?oc=5,13-10-2024
Scientists claim to solve centuries-old mystery of Christopher Columbus' origins,CTV News,https://news.google.com/rss/articles/CBMivgFBVV95cUxPektfb05BTW02dFdfTE1yMHZkOWhON1BGWTRhYWZJRzhwUTRMZ2xVTE5nN1ZQWktqWXJHdGdVSUszME5fWXFKS1BvSUxXSUpoaURNN0ZLcmNkbnRiMzRBWUZjM0tuQzBzXzF6SkRwbm9paXMyemNocGtWY09uaGRmd1dZbkhYdVVxdzZkZ3lrVXp5aS1tWEtUQ19iLVhQNy1TVDRDR0ZtZzdneHdHNFpib3NiaGl5cllGTHVLRmZn?oc=5,14-10-2024
DNA Analysis Sheds New Light on Christopher Columbus's Mysterious Origins,artnet News,https://news.google.com/rss/articles/CBMif0FVX3lxTE5iQjdRQ01tc2ZUY29xN2tfM2h5TkVQNW1ZNi1OeDdPWHA2VHlXaDM2QnlGeWdWbDljT0hWV1VPMF9pRUl5blhVWVZQRmV6aW9mQmtTS3J4eTRJSmF2V3dhR1FYTjlQQ2pieUlDcHdxT01OT1VsdGJ0RHVqTGRrelnSAYcBQVVfeXFMT0VfY2FrVkVTY3Z4WTBJcEYtMXkyR09wSXM0b2xzTDJicGloNlI1U3VIdDVUZnJST000Wmt5T3Vuby1jUWFHUFlqdklDS2xYU2x0dEVaUXpYdGZHWkV2OEZCeEZPVWhodC1TdDRra3Q0aU4xQjVhT0VMRFdUbmhLY2VhWnJBNDBB?oc=5,15-10-2024
"Christopher Columbus was secretly Jewish, new DNA study reveals",Yahoo News Canada,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPSlFLTHQ3UTBtMHk4aEJHdFlBQlRYYXQ2T09CZ1B3bFpXWG1XV2Z6RDZLeWE1cndLeVo2b2R5ZUVkUEg1QV9tVVBZRF8wTXgxRTF0SkFXRUotZVFvRkdLUXBJamdLMTlDVWk4TVFuY3NMWFRLLVhNWDhGeDJWOWE2bTVkbTV4VG96?oc=5,17-10-2024
New study solves mystery of Christopher Columbus' resting place,Euronews,https://news.google.com/rss/articles/CBMiugFBVV95cUxPc0FPeVRFVEduQ3M1WDZQQlpsV2hrUlhLYUJfakNOQjJVTFVBMDZRZ0tkQ0dQXzRCYjJyTWJScFhUM0p1a2VFOENtY2hZc1YxQ0ExQTU0UEsyQS05aVZWMnFsdXA3RlNvejhueVlMWXZ2XzNLcEc5T0dKQVh5eDl4MnJ4V0pPSGhRNUZXenBNY1h3YnBKbS00RXFZVHB6VXRGcWZaSWl6Zk1XMUNlOV9sVnZNYVFBZEt0bFE?oc=5,11-10-2024
DNA Study Shows Christopher Columbus Was A Jew From Spain,NDTV,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQa1pKSHd2Nlo2S1NUazRtaklBWnFyM2xLZDA2ZF9GOEFSWmFUUkhWUU5ydjdKeDIxdXVPalBsUWRwbzMxWnh2YkJLWUN1eUl5enRFMjl3R3FLV2hVMmpma0U3WFNsdjhjRVRsT05QVHphMDBYeTE5VURON0VnZ1puSjJTMlotcXFNc093a3hMLTRZUTFrRmhKUWNEZXVYVU8xR2Y4TTVqZUYzeDRiRmFncDFuVHo3OXhwcnUwSTJtdHhDcEXSAcsBQVVfeXFMTUVPSlBNWmIxOHR2NEtxWlFNdC11VFQ3bDN6WmFIWmFUTVd4N0lLQjRLWEx4VFY5LVd3NXVyZGx6ZHpTb0lQYm5YS05LdGNUcTVsLVF1RElwQ3F6MEFrTWZHdFFQd1JUUjE3MUp3YkloZnAyWGxYeU9YRGQxNW52Q0k3YlJkczhkTnUyR2Q0bExRRS1OT1FaWTB3cGJaTzI4Y3JWUUR4Z3B1Nk5wdTNyY1k5WjA3U1QyMmZjUXFVNlBwbFZwV2RLR2NRM2M?oc=5,14-10-2024
Scientists cast doubt on claims Christopher Columbus was a Sephardic Jew from Spain,EL PAÍS USA,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQNVp3eDdGY2VnU2hTS01JbFIxWWxQNnlFTTlZR2YyMGJGaEdPNTZtSHBodWVNeUNUbmczVFQ1dVljMGhIdHNUOVVlVDBGZ1Mxa1QyZFhqQ2c0ckdkWHI0UlVhU0R1VFVGNW5GV0E3aHk4QnYyYTlXOWhzUkNjaUJhQ2ZONzQ4eEJVRFlrekNLMXZKMTlSUHRGVUs2YnR2X0NaekhHSUt0T1R1dXF1dnNxdHhFTWloMjhVT1g0R3daa01BWlFYZndBSHNadk96NlFJU3A3SGV30gHqAUFVX3lxTE1uWFpQdG9UWFQwVXhKRnkzQVNYa2hoSUJsWHZyWDlKZzFYakc3bVNwM0dJUm12VnFzRVhib2I1WHhmbDl1RzRFSEx2ZkdfRkl4NFdQdGNJcjI2cURuVnpWQ1ZJN3J2TFRsejRZZURldEVKV1RWdktsT1ZpemdoVkxGQXRSOEJuMzU5dXlnVm5XWmVOWjZJTTlDc29rcTcyWkVNNmx3MlFQamMySkY4SkZHcHlId1hsdU5Cc0M2bEVRVlA1NFE0Mlk2aFdwYUNVbGJCVHBzODZoUVVqU1lubmc2LS04TFlPcmFFdw?oc=5,14-10-2024
"Spanish scientists to shed light on mystery of Columbus origins, burial",Reuters,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNMmU4aGdKNzNaQzhuNXhBc3FtQUNyT214QktzVEZkWmlTb1ptVk1UVXhlRlN1MUFGTW02MEtYVVhrSzNIUlZEQkdOUXNHZ0R6WDdfNVRBY1ZXRjlyVzdtWEgwMWFXTnhaUzA5aFV4b1Rkelpoa3R0SmVMMTlNQjFJWDJhSlFucm4zTEZfbGlYbEJkdktOTTN3SFl3VmtpTktyVWpudmwtRko?oc=5,10-10-2024
DNA study resolves centuries-old mystery: Christopher Columbus was a Sephardi Jew,Israel Hayom,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQWlVhbGVvVkgzRHd5MnJIZkVBeFdvSG1uOXNsbTlVZ3VidFJzU21iTE1GTWEtc1BSSWIzczRiVTZiMFJmeGpqZ1JJVzBzRGxlSDBWd2hVUDM4TmhjNG56T01pNGVqTFBMV1FWTXFtQ3R1QjNzWXBqMUFicW1zTDNNWVlIN1lTc0Y0RlV1XzNXU1ZEZmFmWWZmT0Z3TlZ0Y2Q3aTk2Ui1mSWNkVTBqc0R2N2R0Z3k4VFp4UWUw?oc=5,13-10-2024
"Christopher Columbus Likely of Jewish Descent, DNA Research Reveals",The Media Line,https://news.google.com/rss/articles/CBMisAFBVV95cUxPOE1sOFZWQkN4SHBqOFpKMmNnMW1pRDJaWmRoOTFsVjFuWmhfZFNmdElrMG94aWdGbHR5TkppbC1VYTctT3lzNm5DTE5fQURwWjFFYmZKcEowYWczeTJwd2ZzcDdOQVlTQzM0SkZVMWJPcGFfeUMtY3F0Z2wyelVzUUl6emdtSnk4WEZwcFlWZnBORlJhR01GTTd0bDBMbkxTV0x5WFh4dXBXaEdyQmdKVw?oc=5,13-10-2024
New evidence suggests Christopher Columbus was Spanish and Jewish,The Local Europe,https://news.google.com/rss/articles/CBMioAFBVV95cUxPT201cHNZMkk4cHNaU0t5NGpIclFiZmp1TUp3NGtfLWpackRHZDFFZ1RIekNWMjJXTzBGNkVSVjViM2J5QVlZY1o4Qmk5TW1WX1lJNTJKQklzNkdwajZETFFqTkRoeWNHTl85RmhRRERuZmNUaUhMRHNKZUFvRTJkOGdNLUEtQnhnU1RXdzlrdVFtNFBDQ2d2bmhfelg0QVVh?oc=5,14-10-2024
DNA Reveals a Surprise Twist About Christopher Columbus,ScienceAlert,https://news.google.com/rss/articles/CBMijAFBVV95cUxNZ3pqcGwzbXh6Y0toUTQxWVpZQUZacFBSVVNLWUJfcjcyWjdFemd4YmM5a1MyUWI2YmFleXBsUXE2WTVqR1RRNEItcG5xVjRkV3ZsemN1VHRtUjNycUNQTFJWWlFUeDVmLTNwRnBPUXdMaHNhczJoa05hYk83VS00elJxcUk4OEFkMzRYcw?oc=5,14-10-2024
