Title,News Agency,Link,Date
"Does Iran want war? After latest Israel attack, here's what may come next",Global News Toronto,https://news.google.com/rss/articles/CBMib0FVX3lxTFBVckpaWmphZGRtNktXaXNtanFvX0wwMG9fSnVYVUZzd2JtVVpidDZfX1VvT2JOS2wxeFFIYWFqZGdRTjVzbFRvbDh4MVd4bnpGdGRVSkltVlR1eFFqQ3ZNQnpDRFZyMWowcWoxRU9XY9IBdEFVX3lxTE1lUEJjVF9yMldqWjVhUG95Qjd5bFVoRlk2dkdxQUlxS29EbFprZ3k1NFFJelBhUVlEVFVnOUNkQlYwSkhxdERXVHNkQ3lfdGEwZGZnWmYydTlvUzY3QV92SUxGZ3BpYkhCRF9RNG9zOGtmVzdh?oc=5,02-10-2024
Iran's leaders have everything to lose in a direct war with Israel. Why take such a massive risk?,The Conversation Indonesia,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQU0s3U2JiXzBYbzBiMGI1amVNSHp0UERud2owX2MxTnhRejVJVHB0MkJ1aTdHakFnYm8tdVl6d1VlcVVqcG9WVjZLSFBYX3JfeW52bDY5WjY3R0phUXNDY25OS0lSRkxySHZCRHNSam12a29GQ0lfSlRWOE1aeVJ0Z1ZIZklvVndHSVA5V28yd01qXzdoaDkzVjd1cXY3bS1MaDlrR180M1k1eXBzc0xQLXVxZUhXNWRvZFFaZ2JBUlJzdVFUWWFoWA?oc=5,02-10-2024
Israel vs. Iran: Who has the stronger military?,CBC News,https://news.google.com/rss/articles/CBMifkFVX3lxTE10TEYzY1ZEeDVJVVVDYWNGOVhsU1VSYnJEYXVPdUpoUnVWcy1CcVNNdFV5Y1p1UUlnZ3VLSHRpTFVUWDI4WVhZMEg0MGxtbDlmVFRyM2hiRWpmYWx3MFk0aEF6aUlWZy12dm50NXpEQkhRMDd1cE9jS1VSM01sUdIBR0FVX3lxTE8xWm1wNlp3NDJCSEs5Rk10WGNXTG9ESENHUFlmNi1TZkhzNmd3QXkxeXRJMlk3REJxYm05U2RUb3F0OUgxYnln?oc=5,05-10-2024
Opinion | We Absolutely Need to Escalate in Iran,The New York Times,https://news.google.com/rss/articles/CBMieEFVX3lxTE15bTQ1NVZDYnR2TVFRRE1vVkNNTEhoWHFmZlNOUERXNVNKc1A2emN2dGdsaHJmN2E2dmRnNUh5WkpnTWZjbHpFUS1OcWw4RTMzR2tmX2JxbmxWTUFfMzFsRUYxcGE0SzFyVkl4YnFHaVdnRkZMNERTeQ?oc=5,01-10-2024
Iran: seven individuals and seven entities sanctioned in response to Iran's missile transfer to Russia,Présidence française du Conseil de l'Union européenne 2022,https://news.google.com/rss/articles/CBMi_gFBVV95cUxNVW5WRHQ0NXVTY1V4QWFpdW91SDZRNV9fdXBGcExQNHlhbkNwVDdQQ2VNeDRNeHU1SnlFT0VzdV81b1I3VWpfSmtmWnYxOWpreVJUT19RaEV4bGVOYnhiOE5CdDRGQ0JlN3BseWs4WVVHSUNuR2p1VkpOMTlpTU95OHp0bHR4dUJySkVwVERmdWREdFZ2U1dlOHpOdVZ0enhHZFpDeWNjQzhndDZyRHVPVW1tUHYydUV4SWtHVDFIZFlpal9hNmlmR2ZUcTh3amxubHVJdVNIcnd3NHVacTJ5R0FiWFhaZnROcl8zNU9LUjBBQ0JqYlBJVTJSSnIzUQ?oc=5,14-10-2024
Iran's strikes on Israel illustrate its military strengths and weaknesses,Le Monde,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQeTFPZjdiVnlBT1E2bktwd3lFc1docVRIY2xLZnNfWnN4cE5BMlc5TEE3VDlCR3NreU1sdnIwUG1YQmlWR2JxUThxSDlhbHoxNTNFeWdtbkh3eklhUjV2c1VvNWFJeDVOZEVKZUgyeXRmX3FZQk9uWHhCdHB5eHE1ZnpDNm83LU5naEU2aFhQQnJCaXZxc3c0WE1aM2JORm5DcGFVRGV0SzlTY0hOMHRIbjlnWnJlUmFjdTBjenRrX0NBOEloYWRSbEoxX2VObXNuaUpvMnVnaDRPMktGdU13eg?oc=5,03-10-2024
Iran's missile attack against Israel: What we know and what comes next,Al Jazeera English,https://news.google.com/rss/articles/CBMirgFBVV95cUxNWDJvQl9vWWpKR2F3aWh6Q0VLR3B5aHlaeExTQk95TnhJRWRYUHpmb2p3NWxVT3hFUnU4VzZrT0JGeUVNY0JyUDhDMktvM2FxaV9Jem5wM3ZtSl84QTlxTFlNaU8tMExfMTdvM1Y3MlF3Um9hUy1VOTlpY2duOTFfQm51TTkwY0wwN0VySU11SXNacVlzMFJyTWtHM3ppV1ExZ1Y3MW0tZTNVMGxlYVHSAbMBQVVfeXFMTmZYblhqczI0QmRGWTRGNUN4ZXVMT2RoYjFtQWZRN2FYVjlCcEF5VmpQN1pxeXpNQ0xMdzlKcHR3UGlVbTExX2lJWEFGeDN5OEZvWTJVYnFDVFVzdjYzd2lHWVBreXVWUlRJZF94MTctY0ZfYXo3ZU9DNzVOUU9VQWRtcnBrZ1gwT3RyRW0zUFVnNkhraHRzU1lFT213OUp3Mm82WFhlU0NQOTd0NU9EcE1SVFk?oc=5,01-10-2024
Iran Is Not Ready for War With Israel,The Atlantic,https://news.google.com/rss/articles/CBMikwFBVV95cUxPaFZFYVFrX24weFVkUko3cXh5OG9XVElNc3I5c1NqcXlTN3BDdlA0LUNCejdEQ240djFYNFdmOFVhMXE4LVRlMGd3dGE1VjY4YXZyRUp2MXBXbVkwYlQ3dUpVRmE3VndPS3dYdnBpdHo5eC1pTUh6TmlwalBpaGpzS2tnNkR1SERRbTlpTmdBNVBpQ0k?oc=5,02-10-2024
"How could Israel respond, and what might Iran do then?",BBC.com,https://news.google.com/rss/articles/CBMiWkFVX3lxTE01YjV2NVVhS0JBaFZWVTN4Tk1qS2FYeGV1VDJpOW1MYXVZY050UHdsLWFST1JLZFh1aGxaVWZlMzB6VHlrY29lMjd6STBkVEtCVXZ0OUVtcjRkUdIBX0FVX3lxTE51SWVpajI3YnA3TnRady0wd2UzMVlpLXZpVnNIaVNHb3djSjhmaVBaTDl2YWw1ZjFTM01ZMjFwNFpXTWZWYmhIeng5OGNUUUltVFl2OGRfT2s4RWxMQlZj?oc=5,02-10-2024
Iran Is at a Strategic Crossroads,Carnegie Endowment for International Peace,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPVV9UbFlhZmhxYWxGZEROV05vVlZwa2lCNlc1WG5zV0w4MzlFR2trOXRfODZpM0VxY1hUWFRWTldXd19IZ3RpSmRBd3FaWkxqX2FraVZ2OXVMbTBzMTZDbzRzRVVMY3VNVXI2eTZRMXAtZ0ZUTW8tZ1dkcEdYemtRQ0d5aW53UWlwNEJYN01tSjZGN2ZIcy1hekt6QjBqUnBCNHQtMlN3M3dibGc?oc=5,03-10-2024
