Title,News Agency,Link,Date
New Brunswick election results: Live numbers from the 2024 vote,Global News Toronto,https://news.google.com/rss/articles/CBMifEFVX3lxTE1LeDE0Y3pZOEtHSHdPODJocG9MTkl0V0xEbS13MElzNWRqeW9CVnRXdm53TXhEbFVMYVVOaVVNc0NUbEJSZm56bmR2Q3l6VXVyZWwzNWZOYjMxeUgwYi0yQ1oyX1F1bk0tUm1PTlZ4c3pXVUZYSU16MEdZTkI?oc=5,19-10-2024
"Susan Holt leads Liberals to majority, Blaine Higgs loses seat",CBC.ca,https://news.google.com/rss/articles/CBMie0FVX3lxTE1DdS1VZHN4Nmg0M2xUdS1zZGZyS2wzQm1zQ2lFSkxNNWNTcTVLTmVGYkJYeS1LVFRlcEVZdFZtWGVoNDBkUTc1bjRRMEQzTTFnRGg4MnFJVjRZbjFONzVqWmRzTnJUOFpNTW43bjhTa09kLWxuSmo1REZvb9IBR0FVX3lxTFBuSnl2SlVGMnZkTldGcEtaOHd0dEthaUNqTFFzbU9XZWF1RE8xc001MEJyMF82ZVN2OEYwYWstNHQzNjgzcUx3?oc=5,21-10-2024
New Brunswick election: Who won in these key ridings?,CTV News Atlantic,https://news.google.com/rss/articles/CBMimgFBVV95cUxQNVEwQ3lPUFl0M1VoZ1hrMHJ3VTdpYmxBalBCb09CQ21CZHhtemJWbUQ0Unl0aGFvQUFpcTRGX2RILU55M0cwdTluYkhDWHV4LUs1T1J0NWRWR2pwb0tYSm9jT0U4THd1MjhTdkVKZmtUU19vM2hLTXNsUWlIWFV6WGxiWW1LTjlZTW56ZEEybjU4TlBYZXNjS1d3?oc=5,21-10-2024
"Liberals win majority in N.B., Holt becomes first female premier",Telegraph-Journal,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOQlhJcjJFRWtSLWx0U0JnZ2tqU0YybnZ2Ui1PVElfTXJ0OE5oM1hKNVNPSk8wTU5uVVp0eVNpa0kwS3lGRU5sSzg0WmN1VVg5cGZ3ZEE2ejl1Vng1Rk5faDVfOWZkMnhMUkdWMERqeHpXWGktYTNPUHBwSWpTV1Jud2hpcjByYjVK?oc=5,22-10-2024
N.B. votes 2024: Higgs loses own riding as PCs take devastating election blow,Global News Toronto,https://news.google.com/rss/articles/CBMid0FVX3lxTE5laGs4REVudGNWZllEUlpTVW93c3NGcUJOb0VjOHgxZW10ZmhPV1U0U1dYbW90RFNXM25YSzRkb0JXVWVYeFM1NWJLUWJJZlNadHFSdTM2ZWV5Ty1nazU1eWdsbGdoMGZMeVVhNVlaVEJFak5ueHdB0gF8QVVfeXFMUDd3cEtQQ0JucDlTemJIaURmUUxna3Z5bGg0NFdkRE5rTF9vaVRaM2d2ckdfQm5fQkwyTDNpWWxZWThDRjRjeVAya3czRldJMUdLeVRsRWJzbXdLUG5oMzd4b1laeWpBeXJxYXEwMmNGUG9pYzV0aTdYZW5zMQ?oc=5,22-10-2024
Election day dawns in New Brunswick,CBC.ca,https://news.google.com/rss/articles/CBMijAFBVV95cUxNUWlzS0NpbmlwMHNXRHl0RVJrWER2WDZiZDhjZ3FTSzJsVUR1aS1XSU5kbjVzTV81NnY4aUhDdWZZOG13T05tb3piM3lWOWdLOVRGcUFzUTJ2Znkzdk9VZkpGSjBxbXVDdy11TG5Td0JBRnRsSHZNalFEX0YyQTU3LUdNMTZ1OFJWdjM2ddIBR0FVX3lxTFBvZUhhNlBDTVEtNXBmQU95YXBhZjktLTVYTkk3SU5scjV6VkxNTDZZUTQ3OEt3a3cxaHJMS0QtazFpWk5FR1hj?oc=5,21-10-2024
"New Brunswick election: Fewer events, promises mark Tories' 'different' campaign",Global News Toronto,https://news.google.com/rss/articles/CBMigAFBVV95cUxOMXNMa2V3ZHJFWXUxWnFXd3ZFYzhOazJCdVo2b044SUYtRHZDZVNCdmlLbnB1eE1GUm9odHVXc010d2ZqV1VVWHVMRl91ZVVfVzhhckU3VEFFUGpuZFBYdUtlTHljSHNXQmhnM0QyMThLS1hIVHN2QXE2cWUyUjdlddIBhgFBVV95cUxQaHg3S3g1T2xsN0VkMWNjRWotZ1RfQ0ptR3Nxb1FoZ01JVTBhcjRvbS1PTUpLTmVVSzdyOExuUWRCeUQ5RUNMYjk2cGMzMVVwRVF1REJEcXdOZkFycUE5MlFSbFVEMFRpLXY3Q3ZhNzhrWTIyTC1WVk9pTVFneEExYi1USkxiZw?oc=5,15-10-2024
"Big losers, big winners of N.B. election night",CBC.ca,https://news.google.com/rss/articles/CBMijwFBVV95cUxNNHVEQnI1MzJkX2VfMVBieGFDa2JKc25sc0J1cV9Zc1JubWpDM0U3bVl3RFZocmJ1X3FseEpiQjdfM2tpcUtuTndMS1RVdnRlcGVqU0tRR1VfZkFwZ2ZfNnlQZmhmdDlTYk5UTjdEQjJQbUtZWFRrT0J0WFVhR2JvcE5kU2tyS3F6ZlVqMXo2b9IBR0FVX3lxTE9pZXlya2xPZDZ6N3V2TVB4VjFRb3RJemI4SDRVd1l4Q3ZVNTRnQW9TeVpqMkNrQ3NqQWo4S1FQTlpFV0ZZcjJz?oc=5,22-10-2024
New Brunswick election 2024 results: Albert-Riverview,Global News,https://news.google.com/rss/articles/CBMikwFBVV95cUxOQXdpbU15eWlZcFprMnZxSzlQYVFGRU9PRVRzLXFwQm1nVFBlUDJfcXJaR0RpV1dFT3otZnJ4bVlpMUJiRVUwUzh2RF9DZVdBdk5vQ0dOXzlLZjZjZDVMeWFkRW9CUjc1azBFVUpqaE5YYlh4VTUtQlhrcTRZeWxndE90ZkY3ck1WR29fVHZiMnR6TlnSAZgBQVVfeXFMTjV2S01OeTI5QW96UWY5S0FRUHdreXpMYzRnd1NzSTFqTURVdS1iSVJYaFZrSXdsR1VDLU1zaElGQ3U2YzNJbkxHc2FKX2NYajJtUGNkMXc3WFJoMnpLVml3Y0dNbVNjVkdkaVo0NEZleXVYdlAxN1hwQ0Ftc1hGdEVuT28zcHllLUxVc0k0dkRrcExPeTdxOXI?oc=5,10-10-2024
"The six, or nine, or 14 ridings that may determine the election",CBC.ca,https://news.google.com/rss/articles/CBMimgFBVV95cUxPS2IwOHhxdXFSVDhSU2xlelVOMUEtNFoxX2RZX0JsM1czeHBSVEx5bmQtM0ZIMUhCNC1pbUN3TnNpVm9JeklGc3ZrTTI0SHMtR05ZWWF6dldtY1pvbVFHWktObUpDb18xT1d5SE9UWkNzeHdoMlJ0TmZjLXZ1ZlNTQ3JsM1JDRHZUSWd0bEhKNHp0dDU2dExmYlZR0gFHQVVfeXFMTnFybHpkVVNlVzkwaE9oajFSUUhJOXRSRVNtd1REWXFZTm42eFVZcm1DdnM4cWlhaGhWZWZzenJHdU41RG1wZjQ?oc=5,16-10-2024
