Title,News Agency,Link,Date
Raygun Olympics: How viral breaker made it to Paris and divided the world,BBC.com,https://news.google.com/rss/articles/CBMiWkFVX3lxTFAwQXpYcTZzaF8xMlhxWmxkaUFKVDR4T3M0blNaUWJkblpIQy0wR2hMYUhRc1pLRmY4R1lLLXA5MzdPWFFwN1pZajRCX3RkcHRxclFablRka3c4Z9IBX0FVX3lxTFByZ3BCS1lidWpqUWlnQ2d4cm9LaXF1SVRQZXRtN2FFdjcwcVhHRkdwVzcybnl0VndVMkxrWHRrc3RHYUhOcWNqbHRrZEkxX0VSN0NOMGJUMXEzNVRmaTNn?oc=5,17-08-2024
Australian B-Girl Raygun 'devastated' by online hate after Olympic performance,CBC Sports,https://news.google.com/rss/articles/CBMihAFBVV95cUxQVFJrYmRwWEFOS0w3YzZoWmFrX291eVlwS1dQV0xhU0haQXZUVkZNZzBtWWJrVmt4SThuVjNtX0RyV04zOS0yMkk3R1FMYTJocFRFRl9oXzhjQUJxQk40NG9KRm40Qm05WnJQcHpOS2t3aWtxc3JtMkctUnBCdjdrUENPU1HSAUdBVV95cUxPeVBEOUwxVGVKQlZCV0F5blo4RlFyRGR2d3JmV1diUzlYSmphdWlsR0tRV2lYc0ZGWF9sMHhCajJrbW1xUzRlMA?oc=5,15-08-2024
"The 36-Year-Old Breakdancer Named ""Raygun"" Responded To Her Performance",Yahoo News Canada,https://news.google.com/rss/articles/CBMigAFBVV95cUxPMXpHVnRJYmtpem9kTHFlSmpvY2ozUzZfMl9TSThMWWVYQzd0ZkJWWlhaRVFGdHRtTU1ZQWdTUEdFaFZXTVMyV3ptZ1AwUkRVYnZWcHFPTktoMTl1ZC1HRVN4eWRtUVQzczJVWTZ6bVJ0WElVOFVwcldybVNNMXgtZg?oc=5,10-08-2024
"Raygun earned her spot in the Olympics. Yes, really.",Vox.com,https://news.google.com/rss/articles/CBMiiAFBVV95cUxObUN4LVl6YmY4d1kxb1BXMmVNWjhWVGI2NUh5N0wzQ2dDZmkwR0VjZU5LaWFwRXFTX0E5Vm5fa21lZHdzLVhTSVlBcGVqemVjR2xNQ0s1azR1bWFPak9tNjY1bWtzOGVhMDNhRHR6SVNHM2ZOa1VBYXlsOGMxNEM4NFk1QkZlQnpT?oc=5,14-08-2024
"I Just Found Out Viral Breakdancer Raygun Got A Big Career Boost, And It's The Olympics Update I Needed",CinemaBlend,https://news.google.com/rss/articles/CBMinAFBVV95cUxPRWRSNWg1TjBKbm5qc2Y4dWNZNnRWWjdNNmI5VVBUUTB5bGl6ZWljUmJSTUQwTFNNWmpFdTQ1aFItOXdTWUJRWEhJaDEtQjJTYnprS3NRLUs5WHA2VEdNVHJ6MnFLYzZnel9DY0p3bThEdVNXd1BwYU0yNUJiVG1nUnNhOW40NmQ0emZJVkJzR3NQd1ZYSGpFaDBST1E?oc=5,26-08-2024
'It's not about Raygun': Breakdancers speak out on Olympics row,Al Jazeera English,https://news.google.com/rss/articles/CBMipwFBVV95cUxOU18zSUU1aElZMjZRM0QzMXFxSG1wWFNHWHUtbDU0OHlsX2hSb2cyNGFBT3FHZXBNazJmQldtOVpCMlZ5dms1RThsY3NwSWR2QTlmQkZtZ3lKZTZ3UUx2bFZfRUxhcTFaVXk0Y3RoX21FVS1JUmN6OXcwNUttMnJuWEdzNnFkTmtFWGlhaC1NcTRoOTlnYVU3MlZsYmNMSkItN2ZvNGlKVdIBrAFBVV95cUxNVGhoV0VSV2FKWTVoV1hFRWtSMThMYzVBbGpuYkVsaW13MDFISGI0UGJoTERLYnozN0x6ZUZVRUprV0JURTRxd2k4U09FblBDQk1uUjNaMFJ3XzVmWTZjY1R5cXQxVDcyX2J2V2M0VEFlR3lNZ0hXcUQ0SEFHRVF5N2pNb242dGtvczR2Y1c4c2N0LUE5N3JOU1Y0SWl5c0NLOF85WDkwNnA2bXB6?oc=5,18-08-2024
'Raygun' Won The Meme Olympics With Her Breakdancing Moves,Forbes,https://news.google.com/rss/articles/CBMisAFBVV95cUxNSXFLY3hoME1FcmF3Z3hNRDhjSXVvazVWN2RZblVmQ0NDQUpzRXZVRUxtNmxwSTJtZXZzSTBfV1VTMGNIWnlzdGJtWlJHaElzakp0SFJoNW5DaC1UZW5JYU1rbHE3QVVYLWJfY2dLOGJyZ2Q5cjMzNzkwR1pNQ2dwMGtZT1dZT3lrUnlzSFUtUTY4NDlaQ2lxdG94NkdkclE5YTlNWEp6dUVfWm10X25Tag?oc=5,13-08-2024
GUNTER: Cancel-culture bullies should cut Raygun a break,Toronto Sun,https://news.google.com/rss/articles/CBMingFBVV95cUxNQVRfbkEzVzVwWEhELTQzTnVoRzZzbzE2OW0xX0J5S052NWxYWlhTeUFCc0R0Z0tqSkNJMVJxbWNpWWNGUVhrZmdDcVc1ZmhyQnZpU0hWV0dhV3VQNWFsVTJManlQVTI3OW1UQW1vajhRTDFMTC05Y1dIZ1B4VTg1end6bEQtMjhwY1V6cnM2WVZyN2czT29YdklydERQZw?oc=5,17-08-2024
Adele questions if Australian Olympic breakdancer Raygun is 'a joke',The Beat 92.5,https://news.google.com/rss/articles/CBMipwFBVV95cUxPNnhjY0cwZjhYNlFjOTB5Y0s1SzdPQTRfX3ZhSWRmcWN0SnpLd0dRbzhFR0hzZ2RVc3c0SjdJZm1fVm01YTg2czVyV05UUmwxTjZSMzJqdlduS0lRaEFTNVlmYTZRdUVNT0xoTTdRQ3ZXX2xadXZ2RWN0UTB2WGEtV2k4Z0NRRHRjeGFSZ3liRkFZNHFNbzhNWXktOEhoUTRZblZiRHJwUQ?oc=5,12-08-2024
What will Raygun do next? I foresee a very lucrative career,The Guardian,https://news.google.com/rss/articles/CBMivAFBVV95cUxOVDl3cU9Md2JlenFHbXpUd0pHSjF5YnBRdkhMSTFCMzU1NEdEcF9MdVZiZ3U0WDlFci1zUEctWXZnNmlhM2hoaUY1QTFpaEpCRXR5ejQ2eml5ckVIOTJIYWIzMmJtWUhkV0tmNzVsZ0l5R1NHWXRVTzRvc2dOcmh3MmpvWWNGQ0VpdXlId1VrZGtiSjYxbzRMcDQwNTFkbEswRDZzOXBXSUtKdW9hRDF3WGFKM012OERnVWtSZtIBvAFBVV95cUxPYWplUFRpc1N3NHpUWUZtb0ZSRWRMaE54ZF90dC1lakE5dGp1eUs0a1dxbkVpMURwUjRVRXVwcTBDZ1RnU0haNWNEV1lYUERDX2FDNy1tWFFXRWNXQWdOd0F0UUpqbkpVMGpBOUpfWHE3eXdNMEJYWVE1ek9xZ3QyZkxsOXI2Vzl5bXBLS2J3N3ItU2xxY2lkVTlpVWFTeGNYaWhsdGJYNW9xMGwzTDM2MUlIZVBxajBVRHNSNQ?oc=5,12-08-2024
